iter	Passed	Remaining
300	7995	13255
301	8004	13199
302	8012	13142
303	8021	13087
304	8034	13040
305	8048	12992
306	8056	12937
307	8067	12886
308	8079	12837
309	8090	12788
310	8101	12738
311	8110	12686
312	8160	12696
313	8176	12655
314	8194	12617
315	8208	12573
316	8219	12523
317	8228	12472
318	8237	12420
319	8245	12367
320	8297	12381
321	8314	12341
322	8357	12342
323	8366	12291
324	8376	12243
325	8387	12195
326	8399	12150
327	8410	12103
328	8420	12055
329	8428	12004
330	8439	11958
331	8449	11910
332	8460	11864
333	8468	11815
334	8481	11773
335	8497	11734
336	8507	11687
337	8521	11648
338	8531	11602
339	8558	11578
340	8572	11538
341	8584	11496
342	8632	11501
343	8645	11459
344	8653	11412
345	8663	11367
346	8671	11320
347	8681	11275
348	8703	11247
349	8713	11203
350	8722	11157
351	8747	11133
352	8757	11090
353	8799	11086
354	8813	11047
355	8823	11004
356	8832	10959
357	8841	10915
358	8850	10872
359	8860	10829
360	8869	10785
361	8878	10742
362	8892	10705
363	8901	10662
364	8912	10622
365	8924	10582
366	8934	10541
367	8943	10498
368	8975	10483
369	8987	10445
370	9002	10409
371	9017	10375
372	9026	10332
373	9037	10293
374	9048	10254
375	9068	10226
376	9076	10183
377	9085	10142
378	9095	10103
379	9105	10063
380	9113	10022
381	9122	9982
382	9132	9943
383	9143	99043384	9156	98703385	9165	98293386	9188	9805
387	9197	9766
388	9207	9728
389	9218	9691
390	9226	9650
391	9235	9612
392	9243	9573
393	9252	9534
394	9262	9497
395	9273	9460
396	9284	9424
397	9326	9420
398	9341	9388
399	9353	9353
400	9369	9322
401	9377	9284
402	9386	9246
403	9393	9207
